variable;pvalue;-logpval
Rat-Pre-Bot-Car_dis;0.0030410826807505662;5.795541681984838
Per-Pre-Bot-Car_dis;0.003235011144096702;5.733722906183058
Rat-Pre-Bot-Dia_and_kid_dis;0.0077623986739494225;4.858463885083172
Per-Pre-Bot-Dia_and_kid_dis;0.007828951500703982;4.8499266859019645
Per-YLD-Bot-Res_inf_and_tub;0.00810030386811829;4.815853703424893
Rat-Pre-Bot-Neo;0.010544643903275723;4.552137234869983
Rat-Dea-Bot-Neu_dis;0.010760505620505666;4.531872734599215
Per-Pre-Bot-Neo;0.010833327626793333;4.525128005072232
Rat-YLD-Bot-Dig_dis;0.021065072189976435;3.8601389565465176
Rat-YLD-Bot-Car_dis;0.0336801223794638;3.3908474560200816
Rat-YLD-Bot-Dia_and_kid_dis;0.03478831428623496;3.3584737449664934
Per-YLD-Bot-Ski_and_sub_dis;0.038058255257163914;3.2686372600681133
Per-Dea-Bot-Res_inf_and_tub;0.039188194736916385;3.2393797322123947
Per-YLD-Bot-Dia_and_kid_dis;0.049993128353581384;2.9958697159271335
Rat-Dea-Bot-Mal_ski_mel;0.05213824242707241;2.95385657977005
Rat-Dea-Bot-Res_inf_and_tub;0.0522332281763186;2.952036431506917
Rat-YLD-Bot-Res_inf_and_tub;0.05946253120231321;2.8224088924845314
Per-YLD-Bot-Car_dis;0.07009096324027116;2.657961405658485
Per-Pre-Bot-Sub_use_dis;0.07098506632234276;2.6452857575521422
Per-YLD-Bot-Chr_res_dis;0.07267629692220633;2.6217399871896316
Per-YLD-Bot-Men_dis;0.0735552272535992;2.609718763710957
Rat-Pre-Bot-Sub_use_dis;0.07808115784104633;2.5500065080804037
Per-Pre-Bot-Chr_res_dis;0.09283010239169405;2.3769843125687062
Per-YLD-Bot-Dig_dis;0.09354336446664022;2.3693301591182783
Rat-Pre-Bot-Dig_dis;0.09410686335453604;2.3633242982329645
Rat-Pre-Bot-Chr_res_dis;0.09602226744082469;2.3431751619025345
Per-Pre-Bot-Dig_dis;0.09617892818401386;2.341544987049841
Per-Dea-Bot-Chr_res_dis;0.11779451460877385;2.138813574139392
Per-YLD-Bot-Sub_use_dis;0.1276762400286335;2.058257594111545
Rat-Dea-Bot-Chr_res_dis;0.13305541675327134;2.016989570224275
Per-Dea-Bot-Tra_bro_and_lun_can;0.14599781816964444;1.9241636014289951
Per-Dea-Bot-Neu_dis;0.1623036670468761;1.8182862104662147
Rat-YLD-Bot-Sub_use_dis;0.16610707807272285;1.795122649949179
Rat-YLD-Bot-Chr_res_dis;0.17383167399906707;1.7496678388020521
Rat-Dea-Bot-Car_dis;0.18587372244743502;1.682687747406689
Rat-YLD-Bot-Neo;0.18796850235537113;1.671480870851612
Rat-YLD-Bot-Ski_and_sub_dis;0.18990397488107996;1.6612367299396706
Rat-YLD-Bot-Neu_dis;0.2296103084893435;1.4713717179429227
Per-YLD-Bot-Lip_and_ora_cav_can;0.23574746676894567;1.4449941029390463
Per-Pre-Bot-Men_dis;0.23979833881254803;1.4279569637999234
Rat-YLD-Bot-Tot_can;0.2623424824796148;1.3381044438068885
Rat-Pre-Bot-Tot_can;0.26998338572567754;1.3093948562264204
Per-Pre-Bot-Tot_can;0.29213621528505346;1.2305350947845786
Per-Dea-Bot-Car_dis;0.29381550240467347;1.2248032514721272
Rat-Pre-Bot-Men_dis;0.3041499740544338;1.1902343635205923
Per-Pre-Bot-Neu_dis;0.3209266037620536;1.136542830712568
Rat-YLD-Bot-Mal_ski_mel;0.3209266037620536;1.136542830712568
Rat-YLD-Bot-Men_dis;0.32617831295067157;1.120311074908897
Per-Dea-Bot-Mal_ski_mel;0.33057551591573225;1.1069201558787962
Per-Dea-Bot-Nut_def;0.33317994160178716;1.0990725697758468
Per-YLD-Bot-Mus_dis;0.3496219335073012;1.050902898303479
Per-Pre-Bot-Lip_and_ora_cav_can;0.35043036425140983;1.0485932677056768
Rat-Pre-Bot-Mal_ski_mel;0.35462612077452227;1.036691225408282
Rat-Dea-Bot-Neo;0.35530581452215737;1.034776410983075
Rat-Pre-Bot-Lip_and_ora_cav_can;0.36948999322597265;0.9956316208930178
Per-YLD-Bot-Neo;0.3714447572689553;0.9903551277147663
Rat-Dea-Bot-Tot_can;0.372985135205268;0.986216712129034
Rat-Dea-Bot-Dia_and_kid_dis;0.38359285002985233;0.9581735752762509
Per-Pre-Bot-Mal_ski_mel;0.3901893736038;0.9411230843679546
Per-YLD-Bot-Non_ski_can;0.3988964286924622;0.9190534730001435
suicide_rate_high;0.40949784331965466;0.8928236423215515
Rat-Pre-Bot-Neu_dis;0.4147113219580325;0.8801726105398285
Per-YLD-Bot-Tra_bro_and_lun_can;0.41635790355738367;0.8762100435157089
Rat-YLD-Bot-Lip_and_ora_cav_can;0.42997417971699126;0.8440301192672202
Per-Dea-Bot-Ski_and_sub_dis;0.43426251951134165;0.8341060440834325
Rat-Dea-Bot-Nut_def;0.43811219015822833;0.825280259490667
Per-Dea-Bot-Tot_can;0.44229179270373864;0.8157854502290619
Per-Dea-Bot-Neo;0.45844410609825303;0.7799169007183873
Per-YLD-Bot-Mal_ski_mel;0.4622547174486096;0.7716392033616567
Num-Dea-Bot-Res_inf_and_tub;0.46321012465265066;0.7695744949038359
Rat-Dea-Bot-Dig_dis;0.4696075537604256;0.7558579250771235
suicide_rate_high_WMEN;0.47185741214698285;0.7510784319447709
Rat-Pre-Bot-Ski_and_sub_dis;0.4721801358347194;0.7503947224863957
suicide_rate_high_MEN;0.48712210420980306;0.7192404599962002
Per-YLD-Bot-Nut_def;0.5028154292272942;0.6875321161272944
Num-Pre-Bot-Sub_use_dis;0.5223342112167699;0.6494476445998439
Rat-Dea-Bot-Ski_and_sub_dis;0.52556796739998;0.6432757584939476
Rat-Dea-Bot-Men_dis;0.5259089574749329;0.64262716587372
Rat-Dea-Bot-Non_ski_can;0.5272740478282315;0.6400348507473148
Num-YLD-Bot-Car_dis;0.5479650009960464;0.601543860869228
Per-YLD-Bot-Tot_can;0.5526751662809006;0.5929848527954003
Num-YLD-Bot-Sub_use_dis;0.5568785858404224;0.5854080415581813
Num-Pre-Bot-Neo;0.5626836018999071;0.575037794783943
Per-Pre-Bot-Ski_and_sub_dis;0.5663928473772659;0.5684673649004677
Num-Dea-Bot-Chr_res_dis;0.5765195095801268;0.550746098423035
Per-Dea-Bot-Mus_dis;0.5774118715996898;0.5491994515218358
Num-Dea-Bot-Nut_def;0.593765346977389;0.5212710764264623
Num-Dea-Bot-Mal_ski_mel;0.6158322514936232;0.48478067153802856
Rat-Dea-Bot-Tra_bro_and_lun_can;0.6228359575556858;0.47347210537149853
suicide_rate_est;0.6289458276736184;0.4637101505158754
Rat-YLD-Bot-Non_ski_can;0.6419906078375793;0.4431816049356694
Rat-Dea-Bot-Lip_and_ora_cav_can;0.6425521783500846;0.44230725407041227
Rat-Dea-Bot-Sub_use_dis;0.649306888694325;0.4318498101071805
Num-YLD-Bot-Dig_dis;0.6630923359529468;0.41084102857948174
Num-Dea-Bot-Sub_use_dis;0.6720290355990617;0.39745373165571596
Num-YLD-Bot-Res_inf_and_tub;0.6775664836849127;0.3892476001425628
suicide_rate_est_WMEN;0.6798599306241525;0.38586848640592636
Num-Dea-Bot-Men_dis;0.6910042285251794;0.36960933580456645
Num-Dea-Bot-Neu_dis;0.7027943611385155;0.3526909461240984
Num-Pre-Bot-Non_ski_can;0.705510535132335;0.34883357494132233
Per-Pre-Bot-Non_ski_can;0.7127070025351212;0.3386848791611084
Num-Pre-Bot-Mal_ski_mel;0.7152416147297861;0.3351348706721437
Num-Dea-Bot-Car_dis;0.7193426175997305;0.32941751515030937
Num-Dea-Bot-Ski_and_sub_dis;0.7230600273565828;0.32426303488032476
suicide_rate_est_MEN;0.7269801615469483;0.3188560899269306
Num-YLD-Bot-Mal_ski_mel;0.7407563978415863;0.3000834555875816
Num-YLD-Bot-Non_ski_can;0.7409538169157225;0.29981698097825765
Per-Dea-Bot-Men_dis;0.7454991389512962;0.29370129977291887
Per-Dea-Bot-Dia_and_kid_dis;0.750648009945049;0.28681843223631087
Num-Pre-Bot-Chr_res_dis;0.7544176970206737;0.2818090895331106
Num-YLD-Bot-Men_dis;0.7568015765506568;0.278654178066595
Rat-Pre-Bot-Non_ski_can;0.7579943862527242;0.27707929936623454
Num-Pre-Bot-Men_dis;0.7723523008011561;0.25831448486450126
Num-YLD-Bot-Nut_def;0.7771559184992127;0.25211428143632697
Num-Dea-Bot-Tra_bro_and_lun_can;0.7799619813965468;0.24851010228571868
Num-YLD-Bot-Ski_and_sub_dis;0.7815667365333743;0.24645473733040896
Num-Pre-Bot-Car_dis;0.783573988280726;0.24388978861238308
Num-YLD-Bot-Dia_and_kid_dis;0.789000731440141;0.23698803108961894
Num-YLD-Bot-Chr_res_dis;0.7928257140203312;0.23215186205701177
Per-Dea-Bot-Lip_and_ora_cav_can;0.798269780827472;0.22530866745315328
Rat-Pre-Bot-Tra_bro_and_lun_can;0.8150656789067524;0.20448658137263467
suicide_rate_low_WMEN;0.815470743430481;0.2039897331863418
Num-Pre-Bot-Dia_and_kid_dis;0.828890174263808;0.18766761240134053
Num-YLD-Bot-Mus_dis;0.8335783543805979;0.1820275747541919
Num-Pre-Bot-Neu_dis;0.8376598543299679;0.17714316265468433
Num-YLD-Bot-Tra_bro_and_lun_can;0.84031518110439;0.17397824192008343
Num-Pre-Bot-Lip_and_ora_cav_can;0.8415413315901048;0.17252014999167428
Rat-Pre-Bot-Mus_dis;0.8454266638675018;0.16791385140418827
suicide_rate_low;0.8489061271299165;0.1638066675355354
Per-Pre-Bot-Tra_bro_and_lun_can;0.8509543763686128;0.1613967636336902
Rat-Pre-Bot-Nut_def;0.8610046979165158;0.14965531822026096
Population;0.8626477513829771;0.14774883879653342
Num-Pre-Bot-Nut_def;0.8735476632058914;0.1351925851200478
Num-Pre-Bot-Dig_dis;0.8741653778444335;0.13448570172471339
Num-Pre-Bot-Mus_dis;0.8842653063358068;0.12299814108220465
Per-Dea-Bot-Sub_use_dis;0.8881867642904225;0.1185732379572762
Per-Pre-Bot-Mus_dis;0.8896322073383957;0.1169471518489174
Per-Dea-Bot-Dig_dis;0.8908714507915338;0.1155551371259068
Per-Pre-Bot-Nut_def;0.8943840786132041;0.11161997793249576
Num-Dea-Bot-Mus_dis;0.900174068875712;0.10516712449720006
Rat-YLD-Bot-Nut_def;0.9018293417705174;0.1033299766310118
Num-Pre-Bot-Ski_and_sub_dis;0.9030710770036877;0.10195401658782574
Num-YLD-Bot-Lip_and_ora_cav_can;0.9051411612207856;0.09966436819622242
Per-Dea-Bot-Non_ski_can;0.9072118902308152;0.09737923957909024
Rat-YLD-Bot-Tra_bro_and_lun_can;0.9078332325843794;0.09669458180389173
Num-Pre-Bot-Tra_bro_and_lun_can;0.9248371462677945;0.07813761505862735
Num-YLD-Bot-Neo;0.9306516314477824;0.07187025921963297
Per-YLD-Bot-Neu_dis;0.9331447055152949;0.06919499314577035
Num-Pre-Bot-Tot_can;0.9389643871927835;0.06297772680535953
Num-YLD-Bot-Neu_dis;0.9435392979420482;0.05811726380398584
Rat-Pre-Bot-Res_inf_and_tub;0.9452033717186161;0.056355166474502415
Num-Pre-Bot-Res_inf_and_tub;0.9518619857835712;0.04933522761677757
Num-YLD-Bot-Tot_can;0.9551925827357618;0.04584230151657622
Rat-YLD-Bot-Mus_dis;0.9599816720686454;0.04084108629766302
Num-Dea-Bot-Dia_and_kid_dis;0.9649805201794552;0.03564736418943151
Rat-Dea-Bot-Mus_dis;0.9837368584011698;0.016396838017088963
Num-Dea-Bot-Tot_can;0.9908254869651681;0.009216858075284162
Num-Dea-Bot-Dig_dis;0.9908254869651681;0.009216858075284162
Per-Pre-Bot-Res_inf_and_tub;0.9914509971402934;0.008585755198463461
Num-Dea-Bot-Neo;0.9933275576152619;0.006694802648980713
Num-Dea-Bot-Non_ski_can;0.995412667685256;0.004597886412765805
Num-Dea-Bot-Lip_and_ora_cav_can;0.996663749664202;0.003341828028123336
suicide_rate_low_MEN;0.9997914826683824;0.00020853907437898145
